D. melanogaster. Expresses dsRNA for RNAi of CanA1 (FBgn0010015) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01871}attP2	Bloomington Drosophila Stock Center	BDSC:25850; Flybase:FBst0025850;
D. melanogaster. Expresses dsRNA for RNAi of fng (FBgn0011591) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF01967}attP2	Bloomington Drosophila Stock Center	BDSC:25947; Flybase:FBst0025947;
D. melanogaster. Expresses dsRNA for RNAi of Aplip1 (FBgn0040281) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02049}attP2	Bloomington Drosophila Stock Center	BDSC:26024; Flybase:FBst0026024;
D. melanogaster. Expresses dsRNA for RNAi of E(spl)mdelta-HLH (FBgn0002734) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02101}attP2/TM3, Sb[1]	Bloomington Drosophila Stock Center	BDSC:26203; Flybase:FBst0026203;
D. melanogaster. Expresses dsRNA for RNAi of sima (FBgn0266411) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02105}attP2	Bloomington Drosophila Stock Center	BDSC:26207; Flybase:FBst0026207;
D. melanogaster. Expresses dsRNA for RNAi of E(spl)m8-HLH (FBgn0000591) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02096}attP2	Bloomington Drosophila Stock Center	BDSC:26322; Flybase:FBst0026322;
D. melanogaster. Expresses dsRNA for RNAi of pan (FBgn0085432) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02306}attP2	Bloomington Drosophila Stock Center	BDSC:26743; Flybase:FBst0026743;
D. melanogaster. Expresses dsRNA for RNAi of CanB (FBgn0010014) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02616}attP2	Bloomington Drosophila Stock Center	BDSC:27307; Flybase:FBst0027307;
D. melanogaster. Expresses dsRNA for RNAi of mib1 (FBgn0263601) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02629}attP2	Bloomington Drosophila Stock Center	BDSC:27320; Flybase:FBst0027320;
D. melanogaster. Expresses dsRNA for RNAi of Nct (FBgn0039234) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02648}attP2	Bloomington Drosophila Stock Center	BDSC:27498; Flybase:FBst0027498;
D. melanogaster. Expresses dsRNA for RNAi of Cbl (FBgn0020224) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02650}attP2	Bloomington Drosophila Stock Center	BDSC:27500; Flybase:FBst0027500;
D. melanogaster. Expresses dsRNA for RNAi of Atg12 (FBgn0036255) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02704}attP2	Bloomington Drosophila Stock Center	BDSC:27552; Flybase:FBst0027552;
D. melanogaster. Expresses dsRNA for RNAi of fz2 (FBgn0016797) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02722}attP2	Bloomington Drosophila Stock Center	BDSC:27568; Flybase:FBst0027568;
D. melanogaster. Expresses dsRNA for RNAi of Psn (FBgn0284421) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02760}attP2/TM3, Sb[1]	Bloomington Drosophila Stock Center	BDSC:27681; Flybase:FBst0027681;
D. melanogaster. Expresses dsRNA for RNAi of Pi3K92E (FBgn0015279) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02770}attP2/TM3, Sb[1]	Bloomington Drosophila Stock Center	BDSC:27690; Flybase:FBst0027690;
D. melanogaster. Expresses dsRNA for RNAi of Cdk4 (FBgn0016131) under UAS control in the VALIUM10 vector.: y[1] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.JF02795}attP2	Bloomington Drosophila Stock Center	BDSC:27714; Flybase:FBst0027714;
